,avg_reward,steps,score,deaths,coins,finish_status,finish_level,performance_score,trial
0,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,0
1,1.5565217391304347,345,0,0,0,small,False,15.565217391304348,1
2,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,2
3,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,3
4,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,4
5,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,5
6,1.434782608695652,161,0,1,0,small,False,14.347826086956522,6
7,1.434782608695652,161,0,1,0,small,False,14.347826086956522,7
8,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,8
9,1.434782608695652,161,0,1,0,small,False,14.347826086956522,9
10,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,10
11,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,11
12,1.434782608695652,161,0,1,0,small,False,14.347826086956522,12
13,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,13
14,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,14
15,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,15
16,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,16
17,1.434782608695652,161,0,1,0,small,False,14.347826086956522,17
18,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,18
19,2.139130434782609,115,0,1,0,small,False,21.391304347826086,19
20,1.4431818181818181,264,100,0,0,small,False,114.43181818181819,20
21,1.4223602484472049,161,0,1,0,small,False,14.22360248447205,21
22,1.5222929936305734,157,0,1,0,small,False,15.222929936305734,22
23,-0.16666666666666666,216,0,0,0,small,False,-1.6666666666666665,23
24,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,24
25,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,25
26,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,26
27,-0.015151515151515152,264,0,0,0,small,False,-0.15151515151515152,27
28,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,28
29,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,29
30,2.3457943925233646,107,0,1,0,small,False,23.457943925233646,30
31,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,31
32,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,32
33,1.434782608695652,161,0,1,0,small,False,14.347826086956522,33
34,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,34
35,1.434782608695652,161,0,1,0,small,False,14.347826086956522,35
36,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,36
37,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,37
38,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,38
39,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,39
40,2.100840336134454,119,0,1,0,small,False,21.008403361344538,40
41,1.434782608695652,161,0,1,0,small,False,14.347826086956522,41
42,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,42
43,1.434782608695652,161,0,1,0,small,False,14.347826086956522,43
44,-0.11206896551724138,232,0,0,0,small,False,-1.1206896551724137,44
45,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,45
46,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,46
47,1.434782608695652,161,0,1,0,small,False,14.347826086956522,47
48,2.0578512396694215,121,0,1,0,small,False,20.578512396694215,48
49,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,49
50,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,50
51,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,51
52,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,52
53,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,53
54,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,54
55,1.434782608695652,161,0,1,0,small,False,14.347826086956522,55
56,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,56
57,1.434782608695652,161,0,1,0,small,False,14.347826086956522,57
58,0.9487870619946092,371,100,0,0,small,False,109.4878706199461,58
59,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,59
60,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,60
61,0.43859649122807015,171,0,0,0,small,False,4.385964912280701,61
62,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,62
63,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,63
64,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,64
65,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,65
66,0.2644927536231884,276,0,0,0,small,False,2.6449275362318843,66
67,1.4171779141104295,163,0,1,0,small,False,14.171779141104295,67
68,1.434782608695652,161,0,1,0,small,False,14.347826086956522,68
69,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,69
70,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,70
71,1.4968152866242037,157,0,1,0,small,False,14.968152866242036,71
72,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,72
73,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,73
74,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,74
75,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,75
76,0.7152777777777778,576,300,0,1,small,False,307.15277777777777,76
77,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,77
78,0.42699724517906334,363,300,0,1,small,False,304.26997245179064,78
79,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,79
80,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,80
81,1.4431818181818181,264,100,0,0,small,False,114.43181818181819,81
82,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,82
83,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,83
84,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,84
85,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,85
86,1.0802292263610316,349,100,0,0,small,False,110.80229226361031,86
87,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,87
88,1.434782608695652,161,0,1,0,small,False,14.347826086956522,88
89,2.003076923076923,325,0,1,0,small,False,20.03076923076923,89
90,1.0402010050251256,199,0,1,0,small,False,10.402010050251256,90
91,1.88,125,0,1,0,small,False,18.799999999999997,91
92,1.434782608695652,161,0,1,0,small,False,14.347826086956522,92
93,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,93
94,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,94
95,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,95
96,1.7625899280575539,139,0,1,0,small,False,17.62589928057554,96
97,2.1478260869565218,115,0,1,0,small,False,21.47826086956522,97
98,1.534136546184739,249,200,0,1,small,False,215.34136546184737,98
99,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,99
100,-0.027210884353741496,147,0,0,0,small,False,-0.27210884353741494,100
101,1.920353982300885,339,400,1,2,small,False,419.20353982300884,101
102,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,102
103,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,103
104,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,104
105,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,105
106,1.434782608695652,161,0,1,0,small,False,14.347826086956522,106
107,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,107
108,1.434782608695652,161,0,1,0,small,False,14.347826086956522,108
109,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,109
110,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,110
111,0.41420118343195267,169,0,0,0,small,False,4.1420118343195265,111
112,1.434782608695652,161,0,1,0,small,False,14.347826086956522,112
113,1.9224806201550388,129,0,1,0,small,False,19.22480620155039,113
114,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,114
115,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,115
116,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,116
117,1.434782608695652,161,0,1,0,small,False,14.347826086956522,117
118,1.776978417266187,139,0,1,0,small,False,17.769784172661872,118
119,2.3457943925233646,107,0,1,0,small,False,23.457943925233646,119
120,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,120
121,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,121
122,1.434782608695652,161,0,1,0,small,False,14.347826086956522,122
123,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,123
124,1.228110599078341,434,200,0,1,small,False,212.2811059907834,124
125,1.434782608695652,161,0,1,0,small,False,14.347826086956522,125
126,1.434782608695652,161,0,1,0,small,False,14.347826086956522,126
127,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,127
128,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,128
129,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,129
130,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,130
131,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,131
132,1.434782608695652,161,0,1,0,small,False,14.347826086956522,132
133,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,133
134,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,134
135,1.434782608695652,161,0,1,0,small,False,14.347826086956522,135
136,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,136
137,2.269035532994924,591,200,1,0,small,False,222.69035532994923,137
138,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,138
139,1.434782608695652,161,0,1,0,small,False,14.347826086956522,139
140,-0.3357664233576642,137,0,0,0,small,False,-3.3576642335766422,140
141,1.434782608695652,161,0,1,0,small,False,14.347826086956522,141
142,1.434782608695652,161,0,1,0,small,False,14.347826086956522,142
143,2.0661157024793386,121,0,1,0,small,False,20.661157024793386,143
144,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,144
145,1.434782608695652,161,0,1,0,small,False,14.347826086956522,145
146,1.434782608695652,161,0,1,0,small,False,14.347826086956522,146
147,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,147
148,2.3551401869158877,107,0,1,0,small,False,23.551401869158877,148
149,-0.049019607843137254,102,0,0,0,small,False,-0.49019607843137253,149
