,avg_reward,steps,score,deaths,coins,finish_status,finish_level,performance_score
0,1.3180227471566055,2286,5100,0,3,fireball,True,15113.180227471566
1,1.0295881647341063,2501,7400,0,12,fireball,False,7410.295881647341
2,1.3162953254696375,2289,6100,0,6,fireball,True,16113.162953254698
3,1.8045157456922163,1683,2300,0,0,small,True,12318.045157456922
4,1.246353322528363,1234,4200,0,20,small,True,14212.463533225284
5,1.4156513589503281,2134,5650,0,5,fireball,True,15664.156513589503
6,1.9449838187702266,309,100,1,0,small,False,119.44983818770227
7,1.6261879619852164,947,4100,0,20,small,True,14116.261879619851
8,2.203610108303249,1385,2400,0,0,small,True,12422.036101083033
9,1.819868342309994,1671,4000,0,1,tall,True,14018.1986834231
